item,claimid,itemLabel,P15_literal,P15_recon,P15_Wikidata
https://monumenta.wikibase.cloud/entity/Q442,https://monumenta.wikibase.cloud/entity/statement/Q442-D9A04048-B076-4D55-9F65-E6E19D564459,Aizpitarteren hiztegi argitaragabea Loiolan,Vitoria-Gasteiz,Vitoria-Gasteiz,Q14318
https://monumenta.wikibase.cloud/entity/Q444,https://monumenta.wikibase.cloud/entity/statement/Q444-39B4B4D2-7014-4063-9BE8-0030F6201F76,Bizkai mendebaldeko literatura-eskola klasikoaz: Añibarro eta Zabala,Bilbo,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q445,https://monumenta.wikibase.cloud/entity/statement/Q445-45BDC005-CD76-4945-A6A5-1FFCCB710B1B,"Bilingual Dictionary Drafting. The Example of German-Basque, a Medium-density Language Pair",Bolzano,Bolzano,Q6526
https://monumenta.wikibase.cloud/entity/Q446,https://monumenta.wikibase.cloud/entity/statement/Q446-756408A3-57DA-4602-A50A-DBB248C959B1,Bilingual Dictionary Drafting: Connecting Basque word senses to multilingual equivalents,Tbilisi,Tbilisi,Q994
https://monumenta.wikibase.cloud/entity/Q447,https://monumenta.wikibase.cloud/entity/statement/Q447-5E9CB1CD-C54B-4EEC-87B7-600D23020867,Basque Lexicography,Berlin,Berlin,Q64
https://monumenta.wikibase.cloud/entity/Q751,https://monumenta.wikibase.cloud/entity/statement/Q751-19236CB6-537A-4070-B771-5838E774AE7F,Axular-en Hiztegia. Euskara - español - français,Oñati,Oñati,Q496588
https://monumenta.wikibase.cloud/entity/Q752,https://monumenta.wikibase.cloud/entity/statement/Q752-1016B529-264B-460C-8764-E28D757E1D53,"Diccionario Retana de autoridades de la lengua vasca: con cientos de miles de nuevas voces y acepciones, antiguas y modernas ...",Bilbao,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q753,https://monumenta.wikibase.cloud/entity/statement/Q753-B863795F-C055-447B-9F3C-A2886E9D40BD,Dictionnaire basque pour tous,San Sebastián,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q753,https://monumenta.wikibase.cloud/entity/statement/Q753-B863795F-C055-447B-9F3C-A2886E9D40BD,Dictionnaire basque pour tous,Hendaye,Hendaye,Q191754
https://monumenta.wikibase.cloud/entity/Q754,https://monumenta.wikibase.cloud/entity/statement/Q754-7347890E-95D1-4792-9DD2-58CF0F9D26A3,"Diccionario ""IKAS"" Euskera-Castellano Castellano-Euskara. Dialectos vizcaíno y guipuzcoano",Bilbao,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q755,https://monumenta.wikibase.cloud/entity/statement/Q755-F2290BF3-3FB7-41E3-B576-114C4C89C8E3,Diccionario castellano-vasco,Bilbao,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q763,https://monumenta.wikibase.cloud/entity/statement/Q763-7559CB36-FE6F-43C0-8FC3-D4A5D81378C8,Diccionario castellano-vasco,Bilbao,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q764,https://monumenta.wikibase.cloud/entity/statement/Q764-EF61A2CE-7AA6-48A1-B6E6-59C7586FD820,"Basque-English, English-Basque Dictionary",Reno,Reno,Q49225
https://monumenta.wikibase.cloud/entity/Q765,https://monumenta.wikibase.cloud/entity/statement/Q765-D181CE02-0827-45BA-9F0F-EC14A670B5EF,"Basque-English, English-Basque Pocket Dictionary",Reno,Reno,Q49225
https://monumenta.wikibase.cloud/entity/Q766,https://monumenta.wikibase.cloud/entity/statement/Q766-B890E4C6-8DE4-46B0-AF5C-34E33E3F44E9,"Hiztegia 80: euskara-espainiera, espainiera-euskara, vasco- español, español-vasco",Bilbo,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q767,https://monumenta.wikibase.cloud/entity/statement/Q767-D6909ACA-2E37-4E37-B276-9B5F1E37A4A5,Euskara-Ingelesa Ingelesa-Euskara Hiztegia,Donostia,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q768,https://monumenta.wikibase.cloud/entity/statement/Q768-E938536B-9CD2-43F7-B26C-6A66AD20E503,"Morris pocket : euskara-ingelesa, English-Basque",Donostia,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q769,https://monumenta.wikibase.cloud/entity/statement/Q769-607719E6-DDA9-4EB1-A32F-084C669B2059,"Morris student plus: euskara-ingelesa, English-Basque",Donostia,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q770,https://monumenta.wikibase.cloud/entity/statement/Q770-55B579B2-FBEC-44BB-8F96-EA8442608737,Wörterbuch des Baskischen,Wiesbaden,Wiesbaden,Q1721
https://monumenta.wikibase.cloud/entity/Q772,https://monumenta.wikibase.cloud/entity/statement/Q772-36ACD665-1BD9-4B9B-94D0-3779EFB8D1E0,Euskal Hiztegia,Donostia,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q773,https://monumenta.wikibase.cloud/entity/statement/Q773-0D78F904-5F2F-4782-B0CC-CF742DAAC2A8,Hauta-Lanerako euskal hiztegia,Donostia,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q774,https://monumenta.wikibase.cloud/entity/statement/Q774-B933DF1C-F66C-4394-9F46-A4290A3BD2E0,Euskal Hiztegia,Donostia,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q775,https://monumenta.wikibase.cloud/entity/statement/Q775-0805B21B-2639-45C2-83A3-026C20ACDFD3,3000 hiztegia,Bilbo,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q213,https://monumenta.wikibase.cloud/entity/statement/Q213-3C5D7877-8D4F-4B8A-842A-2167CFDBD7AE,"Dictionnaire basque-français, par Silvain Pouvreau, prêtre du diocèse de Bourges",Paris,Paris,Q90
https://monumenta.wikibase.cloud/entity/Q790,https://monumenta.wikibase.cloud/entity/statement/Q790-044C56C9-0212-44CB-ACF8-174E19E0A732,"Historian ez gara, beharbada, hain bakarrik ibili",Bilbo,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q791,https://monumenta.wikibase.cloud/entity/statement/Q791-E548BA21-0585-43C2-8C78-39B544E08307,"Akademiaren sukaldeko lanetan, goxo-goxo",Bilbo,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q792,https://monumenta.wikibase.cloud/entity/statement/Q792-DB742CF9-0D53-4CE8-9FA4-A04679995027,"Inguma eta Wikidata uztartuz, euskarazko zientziaren ezagutza-graforantz",Bilbo,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q793,https://monumenta.wikibase.cloud/entity/statement/Q793-CE819212-E3B0-4071-87E2-66AA04127A92,Itxaropenako artxibategiko altxorrak: Gabriel Arestiren bi liburuen makinizkribuak,Bilbo,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q794,https://monumenta.wikibase.cloud/entity/statement/Q794-7C21F618-1E96-485D-8EFA-48549A279CEF,Miren Azkarateri esker onez,Bilbo,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q796,https://monumenta.wikibase.cloud/entity/statement/Q796-3386E071-3F73-41FE-B7F6-C1498D0125F2,Luzaideko euskararen hiztegia,"Iruña, Bilbo","Iruña, Bilbo",
https://monumenta.wikibase.cloud/entity/Q797,https://monumenta.wikibase.cloud/entity/statement/Q797-5096A8AA-27E8-4B4E-B610-607C1B2A2689,"Berbategitxoa: Arratiako berbetearen gitxieneko hiztegia : ""Geure berbategie"" proiektua",Bilbao,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q798,https://monumenta.wikibase.cloud/entity/statement/Q798-8E27445C-1A48-4E07-B2B6-00F58EDC147C,Itzarbeibarko euskara ikasliburua eta hiztegia,Gares,Puente La Reina – Gares,Q372556
https://monumenta.wikibase.cloud/entity/Q799,https://monumenta.wikibase.cloud/entity/statement/Q799-285AB7CC-7365-4E0F-BF1F-465B2FE8F3D9,Geriadur brezhoneg-euskareg: euskara-bretoiera hiztegia,Kemper/Quimper,Quimper,Q342
https://monumenta.wikibase.cloud/entity/Q800,https://monumenta.wikibase.cloud/entity/statement/Q800-8F07F1E6-5249-4101-9602-A483512ABAB3,Herri-ogasuna hiztegia,Vitoria-Gasteiz,Vitoria-Gasteiz,Q14318
https://monumenta.wikibase.cloud/entity/Q801,https://monumenta.wikibase.cloud/entity/statement/Q801-2C5D68A4-6673-4173-8F99-F5B7DDC01545,Errugbia hiztegia,Vitoria-Gasteiz,Vitoria-Gasteiz,Q14318
https://monumenta.wikibase.cloud/entity/Q802,https://monumenta.wikibase.cloud/entity/statement/Q802-CE595493-BA9F-48D6-908D-9FDCFFAECE3A,Oinarrizko hiztegia latina-euskara,Bilbao,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q803,https://monumenta.wikibase.cloud/entity/statement/Q803-8C2E75F5-C803-45EE-8DA9-35BDA04CAD86,Zirkulazioa hiztegia,Vitoria-Gasteiz,Vitoria-Gasteiz,Q14318
https://monumenta.wikibase.cloud/entity/Q804,https://monumenta.wikibase.cloud/entity/statement/Q804-3C7A804F-84EE-498B-8046-10DF84CCFAB4,Euskaltzaindiaren Hiztegia: Adierak Eta Adibideak,Bilbo,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q804,https://monumenta.wikibase.cloud/entity/statement/Q804-3C7A804F-84EE-498B-8046-10DF84CCFAB4,Euskaltzaindiaren Hiztegia: Adierak Eta Adibideak,Donostia,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q804,https://monumenta.wikibase.cloud/entity/statement/Q804-3C7A804F-84EE-498B-8046-10DF84CCFAB4,Euskaltzaindiaren Hiztegia: Adierak Eta Adibideak,Usurbil,Usurbil,Q1633909
https://monumenta.wikibase.cloud/entity/Q805,https://monumenta.wikibase.cloud/entity/statement/Q805-55187B4D-8D93-43A1-B0FE-1C455205B994,Ikaslearen Hiztegia,Usurbil,Usurbil,Q1633909
https://monumenta.wikibase.cloud/entity/Q805,https://monumenta.wikibase.cloud/entity/statement/Q805-55187B4D-8D93-43A1-B0FE-1C455205B994,Ikaslearen Hiztegia,Donostia,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q806,https://monumenta.wikibase.cloud/entity/statement/Q806-EA647A75-A659-48DD-A4CA-EE8223705787,"Morfologia Konputazionala Euskaraz, 35 urte",Bilbo,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q1260,https://monumenta.wikibase.cloud/entity/statement/Q1260-161ACEC9-79E4-4BF2-8B70-D6B65A865685,Towards ELTeC-LLOD: European Literary Text Collection Linguistic Linked Open Data,"Vienna, Austria",Vienna,Q1741
https://monumenta.wikibase.cloud/entity/Q220,https://monumenta.wikibase.cloud/entity/statement/Q220-55F68665-125B-4F78-B64B-E98DB7F83EA0,Anciens proverbes basques et gascons recueillis por Voltoire et reunis au jour par G. B.,Paris,Paris,Q90
https://monumenta.wikibase.cloud/entity/Q221,https://monumenta.wikibase.cloud/entity/statement/Q221-1ADB1C3A-4ADE-4433-A3BA-50A7AAA3EF05,"Tresora hirour lenguaietaqua francesa, espagnola eta hasquara",Baiona,Bayonne,Q134674
https://monumenta.wikibase.cloud/entity/Q223,https://monumenta.wikibase.cloud/entity/statement/Q223-E824EFDF-B827-40D3-AE68-6E964B5358A4,"Notitia utriusque Vasconiae, tum Ibericae, tum Aquitanicae",Vitoria-Gasteiz,Vitoria-Gasteiz,Q14318
https://monumenta.wikibase.cloud/entity/Q226,https://monumenta.wikibase.cloud/entity/statement/Q226-6FB9A48D-3CB6-4944-BC74-477939D107D9,"Notitia utriusque Vasconiae, tum Ibericae, tum Aquitanicae",Paris,Paris,Q90
https://monumenta.wikibase.cloud/entity/Q229,https://monumenta.wikibase.cloud/entity/statement/Q229-36454AF8-815A-461A-96FA-19AE732460FB,Opus de rebus Hispaniae memorabilibus,Alcalá de Henares,Alcalá de Henares,Q46940
https://monumenta.wikibase.cloud/entity/Q230,https://monumenta.wikibase.cloud/entity/statement/Q230-A9500960-B06D-468E-98B4-7EFAC986D3D2,Los vascos vistos en dos momentos de su historia,Bilbao,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q231,https://monumenta.wikibase.cloud/entity/statement/Q231-8371A1D3-88AA-4DE7-A637-4DFD01A600BD,De la antigüedad y universalidad del vascuence en España,San Sebastián,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q233,https://monumenta.wikibase.cloud/entity/statement/Q233-92BBE1B1-1ABE-4B09-8B2D-9098C3799B5E,"Gramatica escuaraz eta francesez, composatua francez hitzcunça ikhaſi nahi dutenen faboretan",Bayonan,Bayonne,Q134674
https://monumenta.wikibase.cloud/entity/Q234,https://monumenta.wikibase.cloud/entity/statement/Q234-83119022-5CEB-467C-906D-5F2A31FAED88,Modo breve de aprender la lengua vizcayna,Bilbao,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q235,https://monumenta.wikibase.cloud/entity/statement/Q235-6D9396AC-87AE-455D-90FF-B62DADF7115F,"Landuchioren hiztegi iraulia, euskara-gaztelania",Vitoria-Gasteiz,Vitoria-Gasteiz,Q14318
https://monumenta.wikibase.cloud/entity/Q236,https://monumenta.wikibase.cloud/entity/statement/Q236-49A8BAC7-21E0-4670-B55A-566B35562246,"De la Antiguedad y universalidad del Bascuenze en España: de Sus perfecciones y ventajas sobre otras muchas Lenguas, Demostracion previa al Arte, que se dará á luz desta Lengua",Salamanca,Salamanca,Q15695
https://monumenta.wikibase.cloud/entity/Q239,https://monumenta.wikibase.cloud/entity/statement/Q239-23344D37-21B4-4B61-A90D-F27D786AD5BA,Glossaria duo Vasco-Islandica,Amsterdam,Amsterdam,Q727
https://monumenta.wikibase.cloud/entity/Q240,https://monumenta.wikibase.cloud/entity/statement/Q240-6A69F0A6-D2D6-4B6A-B9D6-7315853C2A95,"Grammaire Cantabrique Basque, faite par Pierre d' Urte 1712: Manuscrit de la Bibliothèque du comte de Macclesfield",Bagnères-de-Bigorre,Bagnères-de-Bigorre,Q208264
https://monumenta.wikibase.cloud/entity/Q244,https://monumenta.wikibase.cloud/entity/statement/Q244-7B9670C1-81CA-4161-BAF1-7014F6E8729F,"L'interprect ou Traduction du français, espagnol & basque",Leioa,Leioa,Q530302
https://monumenta.wikibase.cloud/entity/Q245,https://monumenta.wikibase.cloud/entity/statement/Q245-7DC988C3-39B0-4BA5-B1AC-63560507F09C,Anciens proverbes basques et gascons recueillis por Voltoire et reunis au jour par G. B.,Bayonne,Bayonne,Q134674
https://monumenta.wikibase.cloud/entity/Q246,https://monumenta.wikibase.cloud/entity/statement/Q246-A282656A-2849-4D96-BAF5-7B6B57DDDF3B,"L'interprect ou Traduction du français, espagnol & basque",Lyon,Lyon,Q456
https://monumenta.wikibase.cloud/entity/Q247,https://monumenta.wikibase.cloud/entity/statement/Q247-1BB1721C-4D75-400C-9550-987FDDC0684A,Pierre d'Urteren Hiztegia: Londres 1715,Donostia,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q251,https://monumenta.wikibase.cloud/entity/statement/Q251-489CD9AC-E5D0-4622-A5CF-B3910C7FFABD,"Origen de la nación bascongada y de su lengua. De la antigüedad, y universalidad del bascuenze en España: de que han dimanado las monarquias Española, y Francia, y la Republica de Venecia, que existen al presente: de sus perfecciones y ventajas sobre otras muchas lenguas: demonstración previa al arte, que se dara a luz desta lengua",San Sebastián,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q252,https://monumenta.wikibase.cloud/entity/statement/Q252-D03D9499-0089-485A-86D5-25742E6A9AF0,Dictionarium Linguae Cantabricae,Donostia,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q253,https://monumenta.wikibase.cloud/entity/statement/Q253-81944EF3-20AF-4782-BF0C-54C91669207F,Dictionarium Linguae Cantabricae,San Sebastián,San Sebastián,Q10313
https://monumenta.wikibase.cloud/entity/Q254,https://monumenta.wikibase.cloud/entity/statement/Q254-A908CAFB-5D51-412B-B80B-9814ACC30280,Dictionarium Linguae Cantabricae,Vitoria-Gasteiz,Vitoria-Gasteiz,Q14318
https://monumenta.wikibase.cloud/entity/Q260,https://monumenta.wikibase.cloud/entity/statement/Q260-2CFAE668-DC96-4744-8EF8-595BAAE9AE94,"Voces bascongadas: Voces bascongadas diferenciales de Bizcaya, Guipuzcoa y navarra con la distinción que las usa cada nación, anotadas con sus letras iniciales",Bilbao,Bilbao,Q8692
https://monumenta.wikibase.cloud/entity/Q261,https://monumenta.wikibase.cloud/entity/statement/Q261-7E4D3ED0-EEBB-4374-9C52-D30DC7231FE3,Vocabulario de vascuence,Zaldibia,Zaldibia,Q1618289
https://monumenta.wikibase.cloud/entity/Q262,https://monumenta.wikibase.cloud/entity/statement/Q262-5F4CE806-B821-45AE-8470-8D0D31393751,Vocabulaire basque,Toulouse,Toulouse,Q7880
https://monumenta.wikibase.cloud/entity/Q262,https://monumenta.wikibase.cloud/entity/statement/Q262-5F4CE806-B821-45AE-8470-8D0D31393751,Vocabulaire basque,Bayonne,Bayonne,Q134674
