bibItem,creatorstatement,listpos,fullName,fullName_recon_Wikidata,Wikidata_Qid,givenName,lastName,creatoritem
https://monumenta.wikibase.cloud/entity/Q374,https://monumenta.wikibase.cloud/entity/statement/Q374-D94CB36C-4457-4DF4-92A9-B8E5143ADE6D,2,Resurrección María de Azkue,Resurrección María de Azkue,Q3109903,Resurrección María de,Azkue,t8246
https://monumenta.wikibase.cloud/entity/Q375,https://monumenta.wikibase.cloud/entity/statement/Q375-0E0E5902-52A7-4E18-B865-C59BB7E994CA,1,Juan María Román Dornaku Olaechea,Juan María Román Dornaku Olaechea,,Juan María Román,Dornaku Olaechea,t8248
https://monumenta.wikibase.cloud/entity/Q375,https://monumenta.wikibase.cloud/entity/statement/Q375-CBBFEEFA-3160-4168-A84C-1BDF8915F5B9,2,Isaac López Mendizábal,Isaac López Mendizábal,Q3772654,Isaac,López Mendizábal,t8252
https://monumenta.wikibase.cloud/entity/Q376,https://monumenta.wikibase.cloud/entity/statement/Q376-892B7F76-9444-43EF-8A6E-D95C60E24592,1,Román de Bera,Román de Bera,,Román de,Bera,t8222
https://monumenta.wikibase.cloud/entity/Q376,https://monumenta.wikibase.cloud/entity/statement/Q376-F3EAE4BD-39BF-403D-A713-10DA7CA6B6DC,2,Isaac López-Mendizábal,Isaac López-Mendizábal,,Isaac,López-Mendizábal,t8212
https://monumenta.wikibase.cloud/entity/Q377,https://monumenta.wikibase.cloud/entity/statement/Q377-9CD38F03-E41A-4953-BEEB-144450167886,1,O. M. Cap Arbelaitz,O. M. Cap Arbelaitz,,O. M. Cap,Arbelaitz,t8232
https://monumenta.wikibase.cloud/entity/Q377,https://monumenta.wikibase.cloud/entity/statement/Q377-F26EBE41-4362-426E-AFFA-6B7C52961F95,2,Resurrección María de Azkue,Resurrección María de Azkue,Q3109903,Resurrección María de,Azkue,t8230
https://monumenta.wikibase.cloud/entity/Q385,https://monumenta.wikibase.cloud/entity/statement/Q385-76F4F4E1-02F5-47DC-A456-70FABD17132F,1,Luis Michelena Elissalt,Koldo Mitxelena,Q2457804,Luis,Michelena Elissalt,t8459
https://monumenta.wikibase.cloud/entity/Q386,https://monumenta.wikibase.cloud/entity/statement/Q386-923E8512-2AE4-46FC-96CD-E0F49395A5FA,1,Luis Michelena Elissalt,Koldo Mitxelena,Q2457804,Luis,Michelena Elissalt,t8456
https://monumenta.wikibase.cloud/entity/Q387,https://monumenta.wikibase.cloud/entity/statement/Q387-DE2165D0-EC2D-4D33-A0B3-1B40B8261A64,1,Sabino Arana Goiri,Sabino Arana,Q332663,Sabino,Arana Goiri,t8460
https://monumenta.wikibase.cloud/entity/Q387,https://monumenta.wikibase.cloud/entity/statement/Q387-F657522E-91F7-4A91-A29E-B5D1963AD0A9,2,Luis Eleizalde,Luis Eleizalde,Q3266657,Luis,Eleizalde,t8452
https://monumenta.wikibase.cloud/entity/Q388,https://monumenta.wikibase.cloud/entity/statement/Q388-D32D19C8-032D-49DB-8574-CBFBA656B338,1,José María. Iribarren,José María. Iribarren,,José María.,Iribarren,t8455
https://monumenta.wikibase.cloud/entity/Q391,https://monumenta.wikibase.cloud/entity/statement/Q391-334FE7A7-DF93-41BA-A52C-CD20FC1F3D03,4,Mario Saltarelli,Mario Saltarelli,,Mario,Saltarelli,t8616
https://monumenta.wikibase.cloud/entity/Q391,https://monumenta.wikibase.cloud/entity/statement/Q391-345C8B7C-92A5-4641-8517-0D82E1E17068,1,Miren Azkarate,Miren Azkarate Villar,Q3316026,Miren,Azkarate,t8620
https://monumenta.wikibase.cloud/entity/Q391,https://monumenta.wikibase.cloud/entity/statement/Q391-3B8CF068-5355-43DA-9B03-D9B1531BC5C3,3,Jon Ortiz de Urbina,Jon Mirena Ortiz de Urbina Arruabarrena,Q20582522,Jon,Ortiz de Urbina,t8618
https://monumenta.wikibase.cloud/entity/Q391,https://monumenta.wikibase.cloud/entity/statement/Q391-7F03A7A2-B270-4E00-AE26-2B50E4DDF935,2,David Farwell,David Farwell,,David,Farwell,t8613
https://monumenta.wikibase.cloud/entity/Q392,https://monumenta.wikibase.cloud/entity/statement/Q392-5A5975F9-ED3C-4CDA-BFD8-B1D1BCEBD2CF,1,Klara Ceberio,Klara Ceberio,Q95979318,Klara,Ceberio,t8617
https://monumenta.wikibase.cloud/entity/Q392,https://monumenta.wikibase.cloud/entity/statement/Q392-AE2E3B3B-E3B9-44CD-ACF5-51BA8BF43CD5,2,Antton Gurrutxaga,Antton Gurrutxaga,Q65659267,Antton,Gurrutxaga,t8614
https://monumenta.wikibase.cloud/entity/Q393,https://monumenta.wikibase.cloud/entity/statement/Q393-6B0466E0-2950-4A66-9682-9D693B292CD8,1,H. Polge,H. Polge,,H.,Polge,t8743
https://monumenta.wikibase.cloud/entity/Q394,https://monumenta.wikibase.cloud/entity/statement/Q394-BE652980-1587-418E-B318-D70398DABC76,1,A. S. Farwell,A. S. Farwell,,A. S.,Farwell,t8736
https://monumenta.wikibase.cloud/entity/Q395,https://monumenta.wikibase.cloud/entity/statement/Q395-0ADC8752-B453-4256-A4C7-F2A4A0D11BE7,1,Miren Azkarate,Miren Azkarate Villar,Q3316026,Miren,Azkarate,t8744
https://monumenta.wikibase.cloud/entity/Q396,https://monumenta.wikibase.cloud/entity/statement/Q396-1D49A935-7831-4AFF-A1DA-8F047C4BB8A5,1,Miren Azkarate,Miren Azkarate Villar,Q3316026,Miren,Azkarate,t8848
https://monumenta.wikibase.cloud/entity/Q397,https://monumenta.wikibase.cloud/entity/statement/Q397-FBA2FA86-BD66-4C8A-97F8-1679B3C6AE44,1,Julien Vinson,Julien Vinson,Q3189701,Julien,Vinson,t8851
https://monumenta.wikibase.cloud/entity/Q398,https://monumenta.wikibase.cloud/entity/statement/Q398-083DC8B0-BD97-4692-8B94-39DBB412B7E5,1,José María Satrústegui,José María Satrustegi,Q3186458,José María,Satrústegui,t8850
https://monumenta.wikibase.cloud/entity/Q399,https://monumenta.wikibase.cloud/entity/statement/Q399-774CEFCF-8DEC-4520-B6A4-FA002E4F4777,1,Justo Gárate Arriola,Justo Gárate,Q11929503,Justo,Gárate Arriola,t8921
https://monumenta.wikibase.cloud/entity/Q400,https://monumenta.wikibase.cloud/entity/statement/Q400-A8D430E5-6EDB-45E3-8539-028B391D6FC1,1,Iván Igartua Ugarte,Ivan Igartua,Q12259943,Iván,Igartua Ugarte,t8918
https://monumenta.wikibase.cloud/entity/Q401,https://monumenta.wikibase.cloud/entity/statement/Q401-4CAEFA39-D717-471B-B34B-270489C0F52F,1,Miren Azkarate,Miren Azkarate Villar,Q3316026,Miren,Azkarate,t9030
