item,itemLabel,claimid,P15_literal,P15_recon
https://monumenta.wikibase.cloud/entity/Q404,"Lexicografía vasca, el diccionario general vasco",https://monumenta.wikibase.cloud/entity/statement/Q404-25EB0717-36D9-4AA5-85F4-930E07E9E276,A Coruña,A Coruña
https://monumenta.wikibase.cloud/entity/Q407,Larramendiren hitz eraketa,https://monumenta.wikibase.cloud/entity/statement/Q407-4099D0B0-5DE8-44CD-9E93-A765968A685F,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q409,Las partículas discursivas en el Vocabulario Navarro de José María Iribarren,https://monumenta.wikibase.cloud/entity/statement/Q409-8749E9D6-122D-409A-8E68-7190583B201C,Pamplona,Pamplona
https://monumenta.wikibase.cloud/entity/Q415,Extraction of Semantic Relations from a Basque Monolingual Dictionary Using Constraint Grammar,https://monumenta.wikibase.cloud/entity/statement/Q415-A41378B7-E3D6-4246-8F4C-B331FC4FAD8F,Stuttgart,Stuttgart
https://monumenta.wikibase.cloud/entity/Q417,"La guerre des alphabets: règles d'orthographe euskarienne, adoptées pour la publication du Dictionnaire basque, français, espagnol et latin / par Augustin Chaho",https://monumenta.wikibase.cloud/entity/statement/Q417-F79D5E26-6B29-4A1B-8CD3-618E5B035CBF,Bayonne,Bayonne
https://monumenta.wikibase.cloud/entity/Q420,Examen critique du manuel de la langue basque,https://monumenta.wikibase.cloud/entity/statement/Q420-9AA1137F-B94F-489C-ADBD-455B4DB620B1,Bayonne,Bayonne
https://monumenta.wikibase.cloud/entity/Q420,Examen critique du manuel de la langue basque,https://monumenta.wikibase.cloud/entity/statement/Q420-9AA1137F-B94F-489C-ADBD-455B4DB620B1,Mauléon,Mauléon
https://monumenta.wikibase.cloud/entity/Q421,Evaluation of an Automatic Process for Specialized Web Corpora Collection and Term Extraction for Basque,https://monumenta.wikibase.cloud/entity/statement/Q421-C7C508C9-ED90-435D-9809-E671799F5B25,Louvain-la-Neuve,Louvain-la-Neuve
https://monumenta.wikibase.cloud/entity/Q422,Euskarazko lexikogintza juridiko-administratiboa: Larramendiren eragina,https://monumenta.wikibase.cloud/entity/statement/Q422-63172BBC-365E-4529-8702-F4CF39636B51,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q423,Euskararen herri hizkeren atlasa,https://monumenta.wikibase.cloud/entity/statement/Q423-51954B40-EDEA-48E7-8BBF-C51FC07C3814,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q424,"Euskal Hiztegia-ren azterketa eta egituratzea ezagutza lexikalaren eskuratze automatikoari begira. Aditz-adibideen analisia Murriztapen-Gramatika baliatuz, azpikategorizazioaren bidean",https://monumenta.wikibase.cloud/entity/statement/Q424-3F11958D-40FF-46DC-8CA0-F2670D7D2C04,Vitoria-Gasteiz,Vitoria-Gasteiz
https://monumenta.wikibase.cloud/entity/Q425,EUSLEM: A Lemmatiser/Tagger for Basque,https://monumenta.wikibase.cloud/entity/statement/Q425-EEB73C50-FA72-4A07-BB6F-E9BDDBF3A352,Göteborg,Göteborg
https://monumenta.wikibase.cloud/entity/Q426,Euskara ibarguen-cachopin kronikan (XVI. mendea),https://monumenta.wikibase.cloud/entity/statement/Q426-2DD432AD-6898-48E9-9DAF-9F6743360CB8,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q431,"Elexbi, a Basic Tool for Bilingual Term Extraction from Spanish-Basque Parallel Corpora",https://monumenta.wikibase.cloud/entity/statement/Q431-A475D021-0E64-456D-94BD-400239A43EBA,Torino,Torino
https://monumenta.wikibase.cloud/entity/Q437,Estudio sobre las fuentes del Diccionario de Azkue,https://monumenta.wikibase.cloud/entity/statement/Q437-E8E4B1CD-7907-4831-A125-5D1B8AFE2E55,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q441,Basque Compound Nouns and Generative Morphology: Some data,https://monumenta.wikibase.cloud/entity/statement/Q441-E177FDA4-427A-4EC9-9C99-1FF397757086,Amsterdam,Amsterdam
https://monumenta.wikibase.cloud/entity/Q442,Aizpitarteren hiztegi argitaragabea Loiolan,https://monumenta.wikibase.cloud/entity/statement/Q442-D9A04048-B076-4D55-9F65-E6E19D564459,Vitoria-Gasteiz,Vitoria-Gasteiz
https://monumenta.wikibase.cloud/entity/Q444,Bizkai mendebaldeko literatura-eskola klasikoaz: Añibarro eta Zabala,https://monumenta.wikibase.cloud/entity/statement/Q444-39B4B4D2-7014-4063-9BE8-0030F6201F76,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q445,"Bilingual Dictionary Drafting. The Example of German-Basque, a Medium-density Language Pair",https://monumenta.wikibase.cloud/entity/statement/Q445-45BDC005-CD76-4945-A6A5-1FFCCB710B1B,Bolzano,Bolzano
https://monumenta.wikibase.cloud/entity/Q446,Bilingual Dictionary Drafting: Connecting Basque word senses to multilingual equivalents,https://monumenta.wikibase.cloud/entity/statement/Q446-756408A3-57DA-4602-A50A-DBB248C959B1,Tbilisi,Tbilisi
https://monumenta.wikibase.cloud/entity/Q447,Basque Lexicography,https://monumenta.wikibase.cloud/entity/statement/Q447-5E9CB1CD-C54B-4EEC-87B7-600D23020867,Berlin,Berlin
https://monumenta.wikibase.cloud/entity/Q751,Axular-en Hiztegia. Euskara - español - français,https://monumenta.wikibase.cloud/entity/statement/Q751-19236CB6-537A-4070-B771-5838E774AE7F,Oñati,Oñati
https://monumenta.wikibase.cloud/entity/Q752,"Diccionario Retana de autoridades de la lengua vasca: con cientos de miles de nuevas voces y acepciones, antiguas y modernas ...",https://monumenta.wikibase.cloud/entity/statement/Q752-1016B529-264B-460C-8764-E28D757E1D53,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q753,Dictionnaire basque pour tous,https://monumenta.wikibase.cloud/entity/statement/Q753-B863795F-C055-447B-9F3C-A2886E9D40BD,San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q753,Dictionnaire basque pour tous,https://monumenta.wikibase.cloud/entity/statement/Q753-B863795F-C055-447B-9F3C-A2886E9D40BD,Hendaye,Hendaye
https://monumenta.wikibase.cloud/entity/Q754,"Diccionario ""IKAS"" Euskera-Castellano Castellano-Euskara. Dialectos vizcaíno y guipuzcoano",https://monumenta.wikibase.cloud/entity/statement/Q754-7347890E-95D1-4792-9DD2-58CF0F9D26A3,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q755,Diccionario castellano-vasco,https://monumenta.wikibase.cloud/entity/statement/Q755-F2290BF3-3FB7-41E3-B576-114C4C89C8E3,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q763,Diccionario castellano-vasco,https://monumenta.wikibase.cloud/entity/statement/Q763-7559CB36-FE6F-43C0-8FC3-D4A5D81378C8,Bilbao,Bilbao
https://monumenta.wikibase.cloud/entity/Q764,"Basque-English, English-Basque Dictionary",https://monumenta.wikibase.cloud/entity/statement/Q764-EF61A2CE-7AA6-48A1-B6E6-59C7586FD820,Reno,Reno
https://monumenta.wikibase.cloud/entity/Q765,"Basque-English, English-Basque Pocket Dictionary",https://monumenta.wikibase.cloud/entity/statement/Q765-D181CE02-0827-45BA-9F0F-EC14A670B5EF,Reno,Reno
https://monumenta.wikibase.cloud/entity/Q766,"Hiztegia 80: euskara-espainiera, espainiera-euskara, vasco- español, español-vasco",https://monumenta.wikibase.cloud/entity/statement/Q766-B890E4C6-8DE4-46B0-AF5C-34E33E3F44E9,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q767,Euskara-Ingelesa Ingelesa-Euskara Hiztegia,https://monumenta.wikibase.cloud/entity/statement/Q767-D6909ACA-2E37-4E37-B276-9B5F1E37A4A5,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q768,"Morris pocket : euskara-ingelesa, English-Basque",https://monumenta.wikibase.cloud/entity/statement/Q768-E938536B-9CD2-43F7-B26C-6A66AD20E503,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q769,"Morris student plus: euskara-ingelesa, English-Basque",https://monumenta.wikibase.cloud/entity/statement/Q769-607719E6-DDA9-4EB1-A32F-084C669B2059,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q770,Wörterbuch des Baskischen,https://monumenta.wikibase.cloud/entity/statement/Q770-55B579B2-FBEC-44BB-8F96-EA8442608737,Wiesbaden,Wiesbaden
https://monumenta.wikibase.cloud/entity/Q772,Euskal Hiztegia,https://monumenta.wikibase.cloud/entity/statement/Q772-36ACD665-1BD9-4B9B-94D0-3779EFB8D1E0,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q773,Hauta-Lanerako euskal hiztegia,https://monumenta.wikibase.cloud/entity/statement/Q773-0D78F904-5F2F-4782-B0CC-CF742DAAC2A8,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q774,Euskal Hiztegia,https://monumenta.wikibase.cloud/entity/statement/Q774-B933DF1C-F66C-4394-9F46-A4290A3BD2E0,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q775,3000 hiztegia,https://monumenta.wikibase.cloud/entity/statement/Q775-0805B21B-2639-45C2-83A3-026C20ACDFD3,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q213,"Dictionnaire basque-français, par Silvain Pouvreau, prêtre du diocèse de Bourges",https://monumenta.wikibase.cloud/entity/statement/Q213-3C5D7877-8D4F-4B8A-842A-2167CFDBD7AE,Paris,Paris
https://monumenta.wikibase.cloud/entity/Q790,"Historian ez gara, beharbada, hain bakarrik ibili",https://monumenta.wikibase.cloud/entity/statement/Q790-044C56C9-0212-44CB-ACF8-174E19E0A732,Bilbo,Bilbo
