item,itemLabel,P15_literal,P15_recon
https://monumenta.wikibase.cloud/entity/Q409,Las partículas discursivas en el Vocabulario Navarro de José María Iribarren,Pamplona,Pamplona
https://monumenta.wikibase.cloud/entity/Q332,Origine des noms Patronymiques Français (donnant l'etymologie de 10000 noms de famille). Suivi d'une étude sur les noms de famille basques,París,París
https://monumenta.wikibase.cloud/entity/Q319,Vocabulario vasco: (ensayo de una interpretación de la lengua vasca),San Cugat del Vallés,San Cugat del Vallés
https://monumenta.wikibase.cloud/entity/Q302,"Diccionario manual bascongado y castellano, y elementos de gramática, para el uso de la juventud de la M.N. y M.L. Provincia de Guipuzcoa",Tolosa,Tolosa
https://monumenta.wikibase.cloud/entity/Q303,Diccionario manual bascongado y castellano y elementos de gramática para uso de la juventud de Guipúzcoa con ejemplos de ambos idiomas,Tolosa,Tolosa
https://monumenta.wikibase.cloud/entity/Q307,Diccionario Castellano-Euskera. Euzkel-Erdel Iztegia,Tolosa,Tolosa
https://monumenta.wikibase.cloud/entity/Q310,Diccionario basco-español titulado euskeratik erderara biurtzeco itztegia,Tolosa,Tolosa
https://monumenta.wikibase.cloud/entity/Q334,"Manual de conversación castellano-euskera: con extensos vocabularios de nombres, verbos y modismos, diálogos, cartas, refranes, anuncios y un compendio de gramática",Tolosa,Tolosa
https://monumenta.wikibase.cloud/entity/Q338,"Manual de conversación castellano-euzkera: con extensos vocabularios de nombres, verbos y modismos, diálogos, cartas, refranes, anuncios y un compendio de gramática",Tolosa,Tolosa
https://monumenta.wikibase.cloud/entity/Q351,"Gramática vasca abreviada, con vocabularios castellano-vasco y vasco-castellano, lista de formas verbales auxiliares y diálogos",Tolosa,Tolosa
https://monumenta.wikibase.cloud/entity/Q376,Diccionario castellano-euzkera,Tolosa,Tolosa
https://monumenta.wikibase.cloud/entity/Q339,"Manual de conversación castellano-euskera: con extensos vocabularios de nombres, verbos y modismos, diálogos, cartas, refranes, anuncios y un compendio de gramática",Tolosa'n,Tolosa'n
https://monumenta.wikibase.cloud/entity/Q306,"Diccionario científico: castellano-vasco, vasco-castellano","Valparaíso, Chile","Valparaíso, Chile"
https://monumenta.wikibase.cloud/entity/Q366,"Dictionnaire basque-français (dialectes labourdin, bas-navarrais et souletin)",Cressé,Cressé
https://monumenta.wikibase.cloud/entity/Q353,El vocabulario vasco de Aránzazu-Oñate y zonas colindantes,Donostia-San Sebastián,Donostia-San Sebastián
https://monumenta.wikibase.cloud/entity/Q353,El vocabulario vasco de Aránzazu-Oñate y zonas colindantes,Oñati,Oñati
https://monumenta.wikibase.cloud/entity/Q357,El vocabulario euzkerico,Laudio,Laudio
https://monumenta.wikibase.cloud/entity/Q371,Diccionario marítimo ilustrado: castellano-vasco-vasco castellano = Irudidun itxas-iztegia: erdera-euskera-euskera-erdera,Pasajes,Pasajes
https://monumenta.wikibase.cloud/entity/Q360,Dictionnaire français-basque grammaire basque,Versailles [u.a.],Versailles [u.a.]
https://monumenta.wikibase.cloud/entity/Q395,The Current Situation of the Basque Language,Reno,Reno
https://monumenta.wikibase.cloud/entity/Q764,"Basque-English, English-Basque Dictionary",Reno,Reno
https://monumenta.wikibase.cloud/entity/Q765,"Basque-English, English-Basque Pocket Dictionary",Reno,Reno
https://monumenta.wikibase.cloud/entity/Q396,Steps towards the Modernization of Basque: Challenges of a Standardized Lexicon,Tübingen,Tübingen
https://monumenta.wikibase.cloud/entity/Q401,Neologisms and Lexicography in the Basque Language,Budapest,Budapest
https://monumenta.wikibase.cloud/entity/Q402,Morphosyntactic Structure of Terms in Basque for Automatic Terminology Extraction,Stuttgart,Stuttgart
https://monumenta.wikibase.cloud/entity/Q415,Extraction of Semantic Relations from a Basque Monolingual Dictionary Using Constraint Grammar,Stuttgart,Stuttgart
https://monumenta.wikibase.cloud/entity/Q404,"Lexicografía vasca, el diccionario general vasco",A Coruña,A Coruña
https://monumenta.wikibase.cloud/entity/Q420,Examen critique du manuel de la langue basque,Bayonne,Bayonne
https://monumenta.wikibase.cloud/entity/Q420,Examen critique du manuel de la langue basque,Mauléon,Mauléon
https://monumenta.wikibase.cloud/entity/Q425,EUSLEM: A Lemmatiser/Tagger for Basque,Göteborg,Göteborg
https://monumenta.wikibase.cloud/entity/Q421,Evaluation of an Automatic Process for Specialized Web Corpora Collection and Term Extraction for Basque,Louvain-la-Neuve,Louvain-la-Neuve
https://monumenta.wikibase.cloud/entity/Q431,"Elexbi, a Basic Tool for Bilingual Term Extraction from Spanish-Basque Parallel Corpora",Torino,Torino
https://monumenta.wikibase.cloud/entity/Q445,"Bilingual Dictionary Drafting. The Example of German-Basque, a Medium-density Language Pair",Bolzano,Bolzano
https://monumenta.wikibase.cloud/entity/Q446,Bilingual Dictionary Drafting: Connecting Basque word senses to multilingual equivalents,Tbilisi,Tbilisi
https://monumenta.wikibase.cloud/entity/Q751,Axular-en Hiztegia. Euskara - español - français,Oñati,Oñati
https://monumenta.wikibase.cloud/entity/Q770,Wörterbuch des Baskischen,Wiesbaden,Wiesbaden
https://monumenta.wikibase.cloud/entity/Q753,Dictionnaire basque pour tous,San Sebastián,San Sebastián
https://monumenta.wikibase.cloud/entity/Q753,Dictionnaire basque pour tous,Hendaye,Hendaye
https://monumenta.wikibase.cloud/entity/Q796,Luzaideko euskararen hiztegia,"Iruña, Bilbo","Iruña, Bilbo"
https://monumenta.wikibase.cloud/entity/Q798,Itzarbeibarko euskara ikasliburua eta hiztegia,Gares,Gares
https://monumenta.wikibase.cloud/entity/Q799,Geriadur brezhoneg-euskareg: euskara-bretoiera hiztegia,Kemper/Quimper,Kemper/Quimper
https://monumenta.wikibase.cloud/entity/Q804,Euskaltzaindiaren Hiztegia: Adierak Eta Adibideak,Bilbo,Bilbo
https://monumenta.wikibase.cloud/entity/Q804,Euskaltzaindiaren Hiztegia: Adierak Eta Adibideak,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q804,Euskaltzaindiaren Hiztegia: Adierak Eta Adibideak,Usurbil,Usurbil
https://monumenta.wikibase.cloud/entity/Q805,Ikaslearen Hiztegia,Usurbil,Usurbil
https://monumenta.wikibase.cloud/entity/Q805,Ikaslearen Hiztegia,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q1260,Towards ELTeC-LLOD: European Literary Text Collection Linguistic Linked Open Data,"Vienna, Austria","Vienna, Austria"
